order_id,origin_warehouse,destination_zone,distance_km,order_weight_kg,promised_date,actual_date,shipping_cost,inventory_level
ORD00089,warehouse_b,West,101.2,8.7,2026-03-13,2026-03-13,68.71,462
ORD00127,Warehouse A,West,94.1,4.76,2026-05-25,2026-05-25,52.96,359
ORD00046,warehouse_b,Central,110.4,11.63,2026-05-02,2026-05-02,75.63,144
ORD00012,Warehouse C,Central,155.3,4.97,2026-05-28,2026-05-28,71.91,118
ORD00053,Warehouse A,North,122.3,4.57,2026-05-19,2026-05-20,68.54,448
ORD00129,WAREHOUSE D,South,123.1,5.42,2026-03-08,2026-03-08,64.03,214
ORD00116,WAREHOUSE D,South,117.0,4.7,2026-04-23,2026-04-23,64.49,59
ORD00067,Warehouse C,North,59.2,6.55,2026-04-28,2026-04-28,38.55,338
ORD00038,WAREHOUSE D,Central,221.6,7.03,2026-03-09,2026-03-10,112.75,290
ORD00015,Warehouse C,West,86.4,7.07,2026-04-04,2026-04-05,45.48,103
ORD00149,WAREHOUSE D,Central,120.7,13.03,2026-04-08,2026-04-08,79.18,192
ORD00042,Warehouse C,North,71.3,11.15,2026-05-22,2026-05-22,61.01,137
ORD00091,Warehouse C,North,132.4,12.43,2026-03-08,2026-03-08,82.93,111
ORD00061,warehouse_b,North,91.4,10.04,2026-01-21,2026-01-21,73.16,455
ORD00025,Warehouse C,South,104.3,3.61,2026-05-11,2026-05-12,40.88,272
ORD00086,warehouse_b,North,119.6,1.73,2026-01-10,2026-01-11,66.13,459
ORD00085,warehouse_b,East,145.0,9.89,2026-03-05,2026-03-05,81.53,156
ORD00087,WAREHOUSE D,South,87.0,7.04,2026-04-28,2026-04-28,,199
ORD00146,Warehouse C,Central,107.2,9.63,2026-05-04,2026-05-04,72.67,258
ORD00130,Warehouse C,South,183.3,6.84,2026-03-25,2026-03-25,92.82,192
ORD00066,Warehouse C,West,1024.1999999999998,9.13,2026-03-18,2026-03-18,103.33,254
ORD00133,Warehouse C,South,94.0,6.54,2026-01-18,2026-01-18,51.24,419
ORD00076,WAREHOUSE D,East,101.4,6.13,2026-01-01,2026-01-01,56.11,190
ORD00029,Warehouse A,North,122.4,15.39,2026-05-18,2026-05-18,88.25,404
ORD00033,warehouse_b,South,80.4,6.3,2026-02-11,2026-02-11,57.31,296
ORD00041,WAREHOUSE D,North,131.7,5.86,2026-02-27,2026-02-27,71.86,52
ORD00071,Warehouse C,Central,166.5,8.03,2026-05-16,2026-05-16,89.97,24
ORD00109,WAREHOUSE D,West,202.4,13.27,2026-03-04,2026-03-05,112.52,95
ORD00107,Warehouse A,North,58.6,11.83,2026-05-02,2026-05-02,51.24,332
ORD00144,WAREHOUSE D,West,123.6,9.46,2026-04-21,2026-04-22,82.44,205
ORD00118,Warehouse A,South,101.0,5.55,2026-03-01,2026-03-01,53.75,216
ORD00047,WAREHOUSE D,West,109.4,16.16,2026-01-25,2026-01-25,76.73,69
ORD00124,warehouse_b,West,32.3,10.55,2026-03-11,2026-03-12,30.7,243
ORD00050,Warehouse C,North,149.6,6.64,2026-02-19,2026-02-19,84.49,117
ORD00023,Warehouse C,South,156.6,8.99,2026-05-24,2026-05-25,95.31,295
ORD00139,Warehouse C,Central,54.9,8.14,2026-04-07,2026-04-07,33.36,223
ORD00103,Warehouse C,West,115.4,11.71,2026-04-24,2026-04-24,74.81,365
ORD00122,Warehouse A,Central,95.2,5.79,2026-05-03,2026-05-03,57.32,23
ORD00037,WAREHOUSE D,North,152.5,4.31,2026-02-02,2026-02-03,84.06,85
ORD00006,warehouse_b,West,206.39999999999998,6.11,2026-03-13,2026-03-13,30.69,434
ORD00018,warehouse_b,South,117.0,10.92,2026-04-08,2026-04-08,78.47,158
ORD00102,Warehouse C,South,108.7,8.89,2026-05-29,2026-05-29,61.21,330
ORD00121,warehouse_b,West,92.0,8.64,2026-05-30,2026-05-31,62.94,376
ORD00081,Warehouse C,North,172.2,8.06,2026-02-23,2026-02-23,92.41,369
ORD00140,warehouse_b,North,151.9,4.58,2026-03-04,2026-03-04,78.85,72
ORD00126,WAREHOUSE D,South,21.7,5.57,2026-02-02,2026-02-02,16.38,338
ORD00063,warehouse_b,West,234.0,8.56,2026-05-26,2026-05-26,32.45,146
ORD00052,WAREHOUSE D,South,123.7,9.89,2026-04-24,2026-04-24,84.26,433
ORD00142,Warehouse A,East,150.4,11.32,2026-04-20,2026-04-20,94.18,358
ORD00119,warehouse_b,South,115.7,4.89,2026-04-17,2026-04-17,62.13,228
ORD00075,WAREHOUSE D,East,131.2,6.13,2026-01-24,2026-01-24,75.72,344
ORD00030,Warehouse C,East,109.6,6.28,2026-03-17,2026-03-17,59.77,242
ORD00004,Warehouse A,South,83.0,0.2,2026-05-10,2026-05-10,,328
ORD00040,Warehouse C,West,85.3,9.85,2026-04-06,2026-04-06,64.17,244
ORD00083,WAREHOUSE D,Central,123.9,9.79,2026-02-09,2026-02-09,66.37,493
ORD00014,Warehouse C,North,125.4,9.75,2026-01-26,2026-01-26,80.37,214
ORD00101,Warehouse C,West,67.2,13.49,2026-01-01,2026-01-03,56.85,175
ORD00077,warehouse_b,East,156.0,8.92,2026-04-24,2026-04-24,84.89,302
ORD00064,Warehouse A,Central,53.2,5.68,2026-04-18,2026-04-18,43.61,356
ORD00055,WAREHOUSE D,West,140.6,9.54,2026-04-13,2026-04-14,82.47,482
ORD00078,WAREHOUSE D,Central,155.1,9.66,2026-01-29,2026-01-30,85.56,58
ORD00027,warehouse_b,West,113.5,9.21,2026-01-17,2026-01-17,64.78,217
ORD00009,Warehouse A,West,119.5,4.83,2026-04-02,2026-04-02,62.29,453
ORD00044,Warehouse A,North,170.7,9.27,2026-01-19,2026-01-19,100.06,283
ORD00095,WAREHOUSE D,North,129.0,8.04,2026-05-18,2026-05-18,76.5,371
ORD00117,Warehouse C,South,117.5,10.87,2026-03-27,2026-03-27,72.38,183
ORD00099,WAREHOUSE D,East,35.0,6.42,2026-02-02,2026-02-02,19.03,118
ORD00060,Warehouse C,North,123.2,5.32,2026-05-30,2026-05-30,64.41,264
ORD00016,Warehouse C,East,164.0,7.47,2026-03-10,2026-03-10,86.69,379
ORD00054,Warehouse A,North,162.6,5.12,2026-02-12,2026-02-12,90.32,228
ORD00021,warehouse_b,Central,111.2,9.07,2026-03-22,2026-03-22,64.23,128
ORD00015,Warehouse C,West,86.4,7.07,2026-04-04,2026-04-05,45.48,103
ORD00080,warehouse_b,West,166.5,12.66,2026-01-11,2026-01-11,98.05,177
ORD00123,Warehouse C,East,109.0,1.09,2026-04-18,2026-04-18,48.1,295
ORD00013,Warehouse A,North,101.6,11.17,2026-02-28,2026-02-28,62.41,415
ORD00114,WAREHOUSE D,South,151.9,7.16,2026-05-02,2026-05-07,74.35,250
ORD00048,WAREHOUSE D,East,159.1,8.13,2026-04-16,2026-04-16,87.17,259
ORD00059,Warehouse A,Central,212.6,2.4,2026-05-19,2026-05-19,,51
ORD00138,warehouse_b,East,89.5,6.31,2026-05-29,2026-05-29,47.88,33
ORD00096,warehouse_b,East,122.2,14.83,2026-01-18,2026-01-18,86.68,360
ORD00098,Warehouse C,Central,159.1,3.64,2026-04-15,2026-04-15,82.8,187
ORD00019,warehouse_b,East,118.6,12.69,2026-02-28,2026-02-28,76.76,440
ORD00051,WAREHOUSE D,South,102.1,10.57,2026-02-16,2026-02-16,70.64,162
ORD00003,Warehouse A,Central,101.2,9.63,2026-01-09,2026-01-09,61.94,35
ORD00131,WAREHOUSE D,East,157.0,13.73,2026-03-06,2026-03-06,98.25,447
ORD00082,warehouse_b,North,154.2,7.19,2026-05-24,2026-05-29,80.7,472
ORD00141,Warehouse C,Central,93.9,8.14,2026-05-25,2026-05-25,55.53,420
ORD00058,WAREHOUSE D,South,60.0,8.5,2026-03-17,2026-03-17,39.72,131
ORD00031,warehouse_b,West,165.7,10.26,2026-03-09,2026-03-09,91.08,276
ORD00034,Warehouse A,Central,154.9,8.03,2026-05-06,2026-05-06,83.94,29
ORD00112,Warehouse A,West,114.5,8.6,2026-04-29,2026-04-29,57.87,361
ORD00125,WAREHOUSE D,North,243.2,11.36,2026-03-28,2026-03-28,139.78,362
ORD00028,WAREHOUSE D,Central,,7.94,2026-05-16,2026-05-16,86.8,148
ORD00135,Warehouse A,Central,110.4,5.28,2026-03-03,2026-03-08,61.43,84
ORD00092,Warehouse C,North,119.8,5.95,2026-04-22,2026-04-22,65.57,196
ORD00120,Warehouse C,Central,28.7,7.69,2026-04-17,2026-04-17,28.51,51
ORD00105,Warehouse A,East,120.2,8.14,2026-03-27,2026-03-27,68.8,67
ORD00022,WAREHOUSE D,West,149.7,7.36,2026-04-28,2026-04-28,79.95,93
ORD00097,Warehouse C,Central,206.1,5.7,2026-02-01,2026-02-01,103.59,388
ORD00110,Warehouse A,North,109.2,12.47,2026-02-26,2026-02-26,,110
ORD00108,Warehouse A,West,201.9,8.34,2026-05-28,2026-05-29,115.29,119
ORD00008,Warehouse C,South,157.9,8.87,2026-03-28,2026-03-28,85.62,72
ORD00062,warehouse_b,North,193.7,12.09,2026-01-18,2026-01-23,115.49,365
ORD00115,Warehouse C,South,37.3,7.73,2026-03-12,2026-03-12,31.63,412
ORD00036,warehouse_b,Central,113.6,6.84,2026-01-22,2026-01-22,60.37,394
ORD00106,warehouse_b,East,56.0,3.89,2026-02-20,2026-02-20,35.66,95
ORD00011,WAREHOUSE D,Central,401.40000000000003,8.59,2026-04-07,2026-04-12,48.38,60
ORD00148,warehouse_b,North,,5.97,2026-04-26,2026-04-26,78.19,144
